"","Label","X.Msgs","Obs.","Port.","X.Raw","IV.Date","Lin_Flux","Lin_FluxCV","Exp_Flux","Exp_FluxCV","Sampling_Time"
"193","ExRes 38",0,2,2,93,"10/19/21 17:12",0.07,3.2,0.09,2.4,"W4"
"194","ExRes 28",0,3,3,92,"10/19/21 17:14",-0.01,6.9,-0.01,6.9,"W4"
"195","ExRes 26",0,4,4,91,"10/19/21 17:17",0.02,16.9,0.09,4.2,"W4"
"196","ExRes 10",0,5,5,92,"10/19/21 17:19",0.31,4.7,0.55,2.6,"W4"
"197","ExRes 32",0,6,6,92,"10/19/21 17:21",0.02,9.2,0.02,9.2,"W4"
"198","ExRes 27",0,7,7,91,"10/19/21 17:23",0.13,2.5,0.14,2.5,"W4"
"199","ExRes 9",0,8,8,92,"10/19/21 17:26",0,1050.9,0,1050.9,"W4"
"200","ExRes 41",0,9,9,92,"10/19/21 17:28",0.1,3.9,0.15,2.6,"W4"
"201","ExRes 35",0,10,10,91,"10/19/21 17:30",0.03,2.2,0.03,2.2,"W4"
"202","ExRes 42",0,11,11,92,"10/19/21 17:33",0.05,1.9,0.05,1.9,"W4"
"203","Dummy",0,1,1,92,"10/26/21 19:35",0,6.7,0,5.4,"W5"
"204","ExRes 1",0,2,2,91,"10/26/21 19:38",0,7.8,0,6.6,"W5"
"205","ExRes 14",0,3,3,92,"10/26/21 19:40",0.14,2,0.16,1.8,"W5"
"206","ExRes 4",0,4,4,92,"10/26/21 19:42",0.01,41.5,0.41,1.3,"W5"
"207","ExRes 15",0,5,5,91,"10/26/21 19:45",0.04,3.6,0.07,1.9,"W5"
"208","ExRes 12",0,6,6,93,"10/26/21 19:47",0,15.1,0,15.1,"W5"
"209","ExRes 2",0,7,7,94,"10/26/21 19:49",0,18.7,0.01,3.8,"W5"
"210","ExRes 34",0,8,8,92,"10/26/21 19:52",0,32.4,0,33.3,"W5"
"211","ExRes 30",0,9,9,93,"10/26/21 19:54",0.04,5.2,0.08,2.8,"W5"
"212","ExRes 6",0,10,10,91,"10/26/21 19:56",0.03,1.7,0.03,1.7,"W5"
"213","ExRes 40",0,11,11,91,"10/26/21 19:59",0.05,4.5,0.09,2.5,"W5"
"214","Dummy",0,1,1,93,"10/26/21 20:28",0,5.7,0,3.8,"W5"
"215","ExRes 38",0,2,2,92,"10/26/21 20:31",0.02,3.7,0.03,2.8,"W5"
"216","ExRes 28",0,3,3,92,"10/26/21 20:33",0.01,8.8,0.01,4.3,"W5"
"217","ExRes 26",0,4,4,92,"10/26/21 20:35",0.01,2.9,0.01,2.9,"W5"
"218","ExRes 10",0,5,5,92,"10/26/21 20:37",0.05,3.8,0.08,2.8,"W5"
"219","ExRes 32",0,6,6,92,"10/26/21 20:40",0.03,3.5,0.05,2.5,"W5"
"220","ExRes 27",0,7,7,93,"10/26/21 20:42",0.1,3.4,0.14,2.3,"W5"
"221","ExRes 9",0,8,8,93,"10/26/21 20:44",0.01,4.6,0.02,3.8,"W5"
"222","ExRes 41",0,9,9,92,"10/26/21 20:47",0.05,3.2,0.08,2.2,"W5"
"223","ExRes 35",0,10,10,93,"10/26/21 20:49",0.06,4.3,0.1,2.6,"W5"
"224","ExRes 42",0,11,11,92,"10/26/21 20:51",0.06,3.5,0.08,2.5,"W5"
"225","Dummy",0,1,1,90,"11/1/21 18:17",0,11,0,8.4,"W6"
"226","ExRes 1",0,2,2,91,"11/1/21 18:20",0,7.5,0,7.3,"W6"
"227","ExRes 14",0,3,3,91,"11/1/21 18:22",0,7,0.01,4.1,"W6"
"228","ExRes 4",0,4,4,91,"11/1/21 18:24",0,12.7,0,7.6,"W6"
"229","ExRes 15",0,5,5,92,"11/1/21 18:26",0,9,0.01,6.6,"W6"
"230","ExRes 12",0,6,6,90,"11/1/21 18:29",0,6.7,0.01,3.9,"W6"
"231","ExRes 2",0,7,7,91,"11/1/21 18:31",0,11.5,0,6.5,"W6"
"232","ExRes 34",0,8,8,91,"11/1/21 18:33",0,18.3,0.01,3.3,"W6"
"233","ExRes 30",0,9,9,91,"11/1/21 18:36",0,17.2,0,9.2,"W6"
"234","ExRes 6",0,10,10,91,"11/1/21 18:38",0,16.5,0,15.9,"W6"
"235","ExRes 40",0,11,11,92,"11/1/21 18:40",0.01,6.3,0.01,5.7,"W6"
"236","Dummy",0,1,1,92,"11/1/21 18:56",0,14,0,7.2,"W6"
"237","ExRes 38",0,2,2,92,"11/1/21 18:59",0,6.8,0,6.2,"W6"
"238","ExRes 28",0,3,3,91,"11/1/21 19:01",0,8.3,0.01,2.6,"W6"
"239","ExRes 26",0,4,4,92,"11/1/21 19:03",0,13.5,0,9.6,"W6"
"240","ExRes 10",0,5,5,92,"11/1/21 19:06",0,10,0,8.9,"W6"
"241","ExRes 32",0,6,6,92,"11/1/21 19:08",0,10.8,0,10.2,"W6"
"242","ExRes 27",0,7,7,92,"11/1/21 19:10",0,11.5,0.01,2.9,"W6"
"243","ExRes 9",0,8,8,92,"11/1/21 19:12",0,11.4,0.01,3.7,"W6"
"244","ExRes 41",0,9,9,91,"11/1/21 19:15",0,11.4,0,8.8,"W6"
"245","ExRes 35",0,10,10,93,"11/1/21 19:17",0,11.8,0,7.2,"W6"
"246","ExRes 42",0,11,11,92,"11/1/21 19:19",0,10.5,0.01,3.4,"W6"
